relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,MagneticRotationSensor
10210,-0.05506663769483566,0.9097966551780701,9.583989143371582,,283.3051308666258,47.36861994019813
10228,0.2106897532939911,1.1492167711257935,9.172186851501465,,286.14462491970767,
10248,0.26575639843940735,1.2976573705673218,9.141061782836914,,287.9166013866516,
10269,0.14365209639072418,1.434126853942871,9.150638580322266,1005.07080078125,290.3845331488848,47.02840264576199
10288,0.038307227194309235,1.4484920501708984,9.229647636413574,,290.33299254140786,
10308,-0.047884032130241394,1.4460978507995605,9.397241592407227,,290.4704500984544,
10329,-0.08858546614646912,1.4101848602294922,9.557653427124023,,289.85778212990425,46.448836421308705
10348,-0.06703764945268631,1.479616641998291,9.488221168518066,,288.66429536490375,
10368,-0.06464344263076782,1.482010841369629,9.473855972290039,,288.71973601039673,
10389,-0.26575639843940735,1.4700398445129395,9.646238327026367,,289.3597179054377,45.57966445110975
10408,-0.29209262132644653,1.5514427423477173,9.624691009521484,,287.7059105413242,
10429,-0.2106897532939911,1.656787633895874,9.646238327026367,,288.87347673842453,
10449,,1.7070658206939697,9.732429504394531,1005.074462890625,,
10450,-0.21787235140800476,,,,289.4796287065065,44.99479927610408
10468,-0.05985504388809204,1.8148049116134644,9.672574996948242,,287.9763723720784,
10488,-0.031124621629714966,1.946485996246338,9.265560150146484,,291.06266848062955,
10510,,2.0925323963165283,,,,
10511,-0.31603461503982544,,8.944737434387207,,296.89022686161945,44.42354725213988
10532,-0.29209262132644653,2.140416383743286,8.813055992126465,,293.23757146709085,
10551,-0.38307225704193115,2.2170307636260986,8.681375503540039,,295.86881988256823,
10569,-0.667982280254364,2.274491548538208,8.959102630615234,,298.33920368271345,44.0003756654135
10589,-0.8571242094039917,2.248155355453491,9.469067573547363,,294.103980963307,
10610,-1.0319008827209473,2.2625205516815186,9.301473617553711,,297.0246176637286,
10631,,,,1005.051025390625,,
10632,-0.9169792532920837,2.293645143508911,8.865729331970215,,298.8814182499749,43.826374458794966
